n,rl_avg,rl_std,rls_avg,rls_std
10,177.019,135.0941933618173,198.744,139.77073485648677
20,1132.218,633.0281408461262,1464.931,777.7198315430662
30,3523.038,1854.7167467747647,4812.008,1998.8024041878143
40,7786.776,3670.030112253692,10968.576,3996.9020052865776
50,13938.5,6195.8742671179125,21679.068,7076.311626802173
60,23398.72,10143.691202457358,37017.479,11198.226889156158
70,34932.189,15444.438574586102,58344.535,16312.451584770466
80,49382.129,21695.090978904467,89037.782,22947.643730048567
90,68150.046,28524.793559208792,124103.846,28888.03558922774
100,91044.644,38048.04287202767,169252.249,39719.699157195755
